order_id,order_date,customer_id,product_id,quantity,discount_pct,shipping_cost,sales_channel,order_status,base_price,unit_cost,unit_price,revenue,product_cost,profit,customer_since,customer_date_issue
O000014,2024-12-30,C01461,P0014,1,0.0,589.2748922410872,Online,Completed,16307.91,8998.28,16307.91,16307.91,8998.28,6720.355107758912,2022-02-19,False
O000015,2023-08-28,C00155,P0014,5,0.15,118.18267848757675,Online,Completed,16307.91,8998.28,13861.72,69308.59999999999,44991.4,24199.017321512412,2022-08-30,False
O000016,2024-06-16,C01116,P0032,3,0.1,421.504188751092,Store,Completed,24167.24,14201.94,21750.52,65251.56,42605.82,22224.235811248906,2020-05-28,False
O000017,2023-05-21,C01370,P0006,1,0.0,462.55291371246796,Online,Completed,46399.31,28017.75,46399.31,46399.31,28017.75,17919.00708628753,2024-05-07,True
O000018,2023-05-19,C01115,P0023,3,0.2,1278.877498431868,Store,Completed,18652.9,11870.8,14922.32,44766.96,35612.399999999994,7875.682501568137,2020-07-26,False
O000019,2024-04-03,C00700,P0019,1,0.1,933.165085573702,Store,Completed,14773.27,10973.74,13295.94,13295.94,10973.74,1389.0349144262987,2022-10-10,False
O000020,2023-03-11,C00105,P0002,1,0.15,204.38272463887583,Online,Completed,48149.03,31099.07,40926.68,40926.68,31099.07,9623.227275361125,2022-04-06,False
O000021,2024-01-20,C00596,P0041,2,0.1,687.5440449866445,Online,Completed,17041.87,10693.12,15337.68,30675.36,21386.24,8601.575955013355,2025-11-05,True
O000022,2024-09-21,C01014,P0053,1,0.05,742.6001743842528,Online,Completed,19337.72,12777.59,18370.83,18370.83,12777.59,4850.639825615749,2022-04-18,False
O000023,2023-07-17,C00540,P0027,1,0.1,459.2164739029504,Store,Returned,26372.42,16854.64,23735.18,23735.18,16854.64,6421.3235260970505,2023-08-22,True
O000024,2023-07-24,C00012,P0008,2,0.15,1400.5398749945994,Online,Completed,41776.53,28887.3,35510.05,71020.1,57774.6,11844.960125005407,2021-04-23,False
O000025,2024-07-21,C01944,P0043,3,0.05,903.7195341095833,Online,Completed,21218.15,12925.21,20157.24,60471.72,38775.63,20792.37046589042,2022-10-15,False
O000026,2025-09-08,C00364,P0033,2,0.1,548.6499298938922,Store,Returned,13342.59,8022.86,12008.33,24016.66,16045.72,7422.290070106108,2020-02-10,False
O000027,2025-03-15,C00662,P0043,1,0.1,1467.4794284485636,Store,Completed,21218.15,12925.21,19096.34,19096.34,12925.21,4703.650571551438,2023-06-14,False
O000028,2025-05-08,C01342,P0030,1,0.1,1119.6802628793143,Online,Completed,21001.14,14631.33,18901.03,18901.03,14631.33,3150.0197371206846,2023-03-10,False
O000029,2025-05-31,C00538,P0034,1,0.05,1328.2840360957312,Store,Completed,26712.82,17922.94,25377.18,25377.18,17922.94,6125.955963904271,2024-11-12,False
O000030,2025-08-31,C00314,P0020,1,0.0,1177.3827506526152,Online,Completed,8241.48,6253.13,8241.48,8241.48,6253.13,810.9672493473843,2022-12-03,False
O000031,2024-10-01,C01479,P0062,1,0.05,670.331690890187,Online,Returned,2623.68,1558.73,2492.5,2492.5,1558.73,263.43830910981296,2022-08-22,False
O000032,2023-11-21,C01423,P0002,1,0.1,171.61728021365576,Online,Completed,48149.03,31099.07,43334.13,43334.13,31099.07,12063.442719786342,2020-04-26,False
O000033,2024-03-17,C01776,P0068,1,0.05,812.1596032191225,Online,Completed,831.51,520.17,789.93,789.93,520.17,-542.3996032191225,2023-10-18,False
O000034,2025-03-14,C01246,P0019,3,0.15,510.39543939110763,Store,Returned,14773.27,10973.74,12557.28,37671.840000000004,32921.22,4240.2245606088945,2023-10-11,False
O000035,2023-10-15,C00580,P0035,1,0.05,110.86504866922587,Store,Completed,6233.16,4830.1,5921.5,5921.5,4830.1,980.5349513307738,2020-06-28,False
O000036,2023-08-14,C00262,P0020,2,0.0,490.159566968814,Online,Completed,8241.48,6253.13,8241.48,16482.96,12506.26,3486.540433031185,2025-12-13,True
O000037,2025-12-23,C00496,P0041,1,0.05,1396.2235203308082,Online,Returned,17041.87,10693.12,16189.78,16189.78,10693.12,4100.436479669192,2021-02-25,False
O000038,2025-08-24,C00130,P0029,1,0.05,226.56355387691025,Online,Completed,16320.22,10540.75,15504.21,15504.21,10540.75,4736.896446123089,2025-07-17,False
O000039,2025-07-26,C01183,P0015,1,0.15,801.8074130903497,Online,Completed,68260.89,49534.02,58021.76,58021.76,49534.02,7685.932586909656,2021-06-19,False
O000040,2024-07-13,C00792,P0032,1,0.15,240.36928646019297,Online,Completed,24167.24,14201.94,20542.15,20542.15,14201.94,6099.840713539808,2020-09-18,False
O000041,2024-12-14,C01839,P0013,2,0.05,319.71055220691966,Online,Completed,51810.99,39926.78,49220.44,98440.88,79853.56,18267.609447793086,2020-11-19,False
O000042,2024-05-12,C01567,P0007,1,0.1,702.7521952146857,Online,Completed,33971.37,23910.3,30574.23,30574.23,23910.3,5961.177804785315,2023-09-08,False
O000043,2025-04-28,C02137,P0054,2,0.0,1191.837245616671,Online,Completed,4391.07,3392.34,4391.07,8782.14,6784.68,805.6227543833281,2022-08-24,False
O000044,2025-07-14,C00968,P0016,2,0.05,1497.0610239387995,Online,Completed,77138.7,54809.17,73281.76,146563.52,109618.34,35448.118976061196,2021-11-18,False
O000045,2023-03-01,C01356,P0010,5,0.0,196.9408164775005,Online,Completed,56479.09,32881.48,56479.09,282395.44999999995,164407.40000000002,117791.10918352244,2020-02-27,False
O000046,2023-09-14,C00630,P0056,2,0.05,309.42365111225496,Online,Completed,3220.25,2334.13,3059.24,6118.48,4668.26,1140.7963488877444,2023-02-05,False
O000047,2024-07-30,C00506,P0066,2,0.1,755.0539044743304,Store,Completed,1482.61,1004.14,1334.35,2668.7,2008.28,-94.6339044743305,2021-09-25,False
O000048,2023-08-27,C00207,P0038,2,0.1,580.8867045420229,Online,Completed,11946.05,6792.61,10751.44,21502.88,13585.22,7336.773295457979,2025-12-12,True
O000049,2023-02-07,C01855,P0053,5,0.0,896.1703649323455,Store,Completed,19337.72,12777.59,19337.72,96688.6,63887.95,31904.479635067662,2023-12-26,True
O000050,2023-01-25,C01270,P0034,3,0.1,936.3867541106645,Store,Completed,26712.82,17922.94,24041.54,72124.62,53768.81999999999,17419.41324588934,2024-11-14,True
O000051,2024-02-14,C01483,P0001,2,0.1,520.118392838795,Online,Completed,76307.73,44819.33,68676.96,137353.92,89638.66,47195.14160716121,2024-03-27,True
O000052,2024-04-05,C01169,P0059,1,0.0,1355.5079353885162,Online,Completed,3898.1,2349.12,3898.1,3898.1,2349.12,193.4720646114838,2021-10-26,False
O000053,2025-09-14,C01661,P0025,1,0.2,508.52339583199057,Store,Completed,13173.89,8040.17,10539.11,10539.11,8040.17,1990.41660416801,2022-09-19,False
O000054,2023-12-23,C00884,P0032,3,0.1,201.29399587785096,Online,Completed,24167.24,14201.94,21750.52,65251.56,42605.82,22444.446004122146,2025-01-24,True
O000055,2024-01-18,C00951,P0031,4,0.05,515.5463117955776,Online,Completed,25575.2,17504.26,24296.44,97185.76,70017.04,26653.173688204424,2021-10-18,False
O000056,2024-07-22,C00285,P0003,5,0.1,573.9936253460961,Online,Completed,46962.97,29587.37,42266.67,211333.34999999998,147936.85,62822.50637465387,2020-03-01,False
O000057,2025-12-07,C00719,P0066,1,0.2,747.9241195244737,Store,Completed,1482.61,1004.14,1186.09,1186.09,1004.14,-565.9741195244737,2022-05-15,False
O000058,2024-03-08,C00502,P0041,2,0.0,1209.8493672328186,Online,Completed,17041.87,10693.12,17041.87,34083.74,21386.24,11487.650632767178,2025-01-03,True
O000059,2023-02-25,C00258,P0062,2,0.25,1468.8708546843868,Online,Completed,2623.68,1558.73,1967.76,3935.52,3117.46,-650.8108546843869,2021-09-02,False
O000060,2024-07-30,C02040,P0053,1,0.1,94.75293943220328,Online,Completed,19337.72,12777.59,17403.95,17403.95,12777.59,4531.607060567797,2022-04-23,False
O000061,2023-09-25,C00810,P0033,1,0.1,1060.9176984683695,Online,Completed,13342.59,8022.86,12008.33,12008.33,8022.86,2924.5523015316307,2022-12-16,False
O000062,2023-03-10,C02100,P0013,1,0.05,243.0634465377016,Online,Completed,51810.99,39926.78,49220.44,49220.44,39926.78,9050.596553462301,2020-02-18,False
O000063,2025-06-20,C01923,P0039,2,0.0,1416.9008842651644,Store,Completed,15201.43,10476.48,15201.43,30402.86,20952.96,8032.999115734837,2020-06-25,False
O000064,2025-03-03,C01240,P0029,1,0.0,1443.7945948006168,Store,Completed,16320.22,10540.75,16320.22,16320.22,10540.75,4335.675405199383,2024-05-19,False
O000065,2023-09-14,C01129,P0025,1,0.05,609.1515682456323,Store,Completed,13173.89,8040.17,12515.2,12515.2,8040.17,3865.878431754368,2025-06-05,True
O000066,2024-11-02,C00522,P0019,1,0.1,332.2600527448348,Online,Completed,14773.27,10973.74,13295.94,13295.94,10973.74,1989.9399472551659,2022-05-15,False
O000067,2024-05-04,C00969,P0065,1,0.25,258.4195610652647,Store,Completed,2151.86,1389.65,1613.9,1613.9,1389.65,-34.1695610652647,2020-11-05,False
O000068,2025-01-15,C01778,P0016,2,0.1,868.5201156333794,Store,Completed,77138.7,54809.17,69424.83,138849.66,109618.34,28362.79988436663,2025-04-26,True
O000069,2023-02-18,C01001,P0072,1,0.15,488.0320468959538,Online,Cancelled,774.85,529.21,658.62,658.62,529.21,-358.6220468959538,2023-02-17,False
O000070,2023-11-12,C00888,P0071,1,0.1,487.9654135463645,Online,Completed,4370.25,3126.8,3933.22,3933.22,3126.8,318.4545864536351,2023-03-15,False
O000071,2024-02-17,C00745,P0060,1,0.2,972.2983311870233,Store,Completed,3944.4,2929.93,3155.52,3155.52,2929.93,-746.7083311870232,2022-01-23,False
O000072,2024-03-09,C01068,P0057,2,0.1,977.9034998220677,Online,Completed,2399.62,1477.21,2159.66,4319.32,2954.42,386.9965001779319,2020-01-29,False
O000073,2025-10-22,C01705,P0045,2,0.0,1432.6042576870468,Online,Completed,2648.4,2040.25,2648.4,5296.8,4080.5,-216.30425768704663,2024-06-13,False
O000074,2024-02-24,C00211,P0052,1,0.05,372.5780059406295,Online,Completed,5049.2,3111.34,4796.74,4796.74,3111.34,1312.8219940593701,2025-11-23,True
O000075,2025-04-23,C02324,P0006,1,0.05,71.61368049599525,Store,Completed,46399.31,28017.75,44079.34,44079.34,28017.75,15989.976319504001,2024-05-07,False
O000076,2025-07-04,C01131,P0060,3,0.0,243.09892431196587,Online,Completed,3944.4,2929.93,3944.4,11833.2,8789.789999999999,2800.311075688036,2020-09-04,False
O000077,2024-03-09,C01957,P0037,3,0.15,629.0749165795905,Online,Completed,2788.85,1641.83,2370.52,7111.5599999999995,4925.49,1556.9950834204092,2021-03-14,False
O000078,2024-10-04,C01703,P0054,3,0.05,979.3809052862767,Online,Completed,4391.07,3392.34,4171.52,12514.560000000001,10177.02,1358.1590947137242,2020-08-01,False
O000079,2023-02-26,C02253,P0004,1,0.05,1117.7226113403758,Online,Returned,42415.33,30150.61,40294.56,40294.56,30150.61,9026.227388659621,2022-12-15,False
O000080,2025-08-21,C00119,P0047,1,0.1,62.40415156796087,Online,Completed,20500.61,14824.88,18450.55,18450.55,14824.88,3563.265848432039,2025-08-10,False
O000081,2025-09-03,C00486,P0037,3,0.05,130.5081788934847,Online,Completed,2788.85,1641.83,2649.41,7948.23,4925.49,2892.231821106515,2021-06-18,False
O000082,2023-02-15,C02157,P0042,5,0.0,1045.036984867978,Online,Completed,23234.15,13517.06,23234.15,116170.75,67585.3,47540.41301513202,2022-12-11,False
O000083,2024-02-21,C01032,P0048,1,0.15,192.37359864256496,Store,Completed,4817.07,3708.5,4094.51,4094.51,3708.5,193.63640135743526,2023-04-04,False
O000084,2025-04-27,C00512,P0061,2,0.1,501.60192095974304,Store,Completed,2023.64,1366.93,1821.28,3642.56,2733.86,407.0980790402568,2021-05-30,False
O000085,2023-05-19,C01067,P0062,1,0.0,51.54631111888578,Online,Returned,2623.68,1558.73,2623.68,2623.68,1558.73,1013.403688881114,2025-10-12,True
O000086,2023-09-04,C01833,P0055,1,0.0,135.59609479555905,Online,Completed,2416.67,1519.14,2416.67,2416.67,1519.14,761.9339052044409,2025-12-06,True
O000087,2023-08-18,C00132,P0037,2,0.1,1176.2817061134374,Online,Completed,2788.85,1641.83,2509.96,5019.92,3283.66,559.9782938865628,2021-01-17,False
O000088,2025-03-02,C01924,P0015,2,0.1,1189.1802645866803,Store,Completed,68260.89,49534.02,61434.8,122869.6,99068.04,22612.37973541333,2022-10-31,False
O000089,2024-09-28,C01816,P0059,3,0.05,1454.1707706912446,Online,Completed,3898.1,2349.12,3703.2,11109.599999999999,7047.36,2608.069229308754,2022-05-21,False
O000090,2024-01-09,C02442,P0063,5,0.05,314.9041571090347,Online,Completed,3877.55,3036.56,3683.67,18418.35,15182.8,2920.6458428909646,2020-12-15,False
O000091,2025-01-07,C00198,P0066,1,0.2,1331.8713717145301,Online,Completed,1482.61,1004.14,1186.09,1186.09,1004.14,-1149.9213717145303,2020-09-21,False
O000092,2025-12-24,C00220,P0042,2,0.1,368.5183414759708,Online,Completed,23234.15,13517.06,20910.74,41821.48,27034.12,14418.841658524034,2025-08-22,False
O000093,2023-03-29,C00868,P0031,2,0.2,711.7457336957985,Online,Completed,25575.2,17504.26,20460.16,40920.32,35008.52,5200.054266304204,2020-12-09,False
O000094,2024-12-13,C02142,P0006,1,0.1,1056.9353120789824,Online,Completed,46399.31,28017.75,41759.38,41759.38,28017.75,12684.694687921015,2020-12-24,False
O000095,2024-08-23,C01316,P0019,2,0.1,621.4463414301293,Online,Completed,14773.27,10973.74,13295.94,26591.88,21947.48,4022.953658569872,2024-04-04,False
O000096,2024-06-22,C02201,P0038,4,0.1,330.7543659153764,Online,Completed,11946.05,6792.61,10751.44,43005.76,27170.44,15504.565634084627,2024-06-17,False
O000097,2023-08-02,C00767,P0033,2,0.0,629.1851795663717,Online,Completed,13342.59,8022.86,13342.59,26685.18,16045.72,10010.27482043363,2024-09-25,True
O000098,2023-03-15,C01446,P0053,3,0.0,357.0659338682326,Online,Completed,19337.72,12777.59,19337.72,58013.16,38332.770000000004,19323.32406613177,2023-07-25,True
O000099,2023-03-02,C01182,P0030,1,0.15,255.58815308999675,Store,Completed,21001.14,14631.33,17850.97,17850.97,14631.33,2964.0518469100043,2022-03-15,False
O000100,2024-11-28,C00257,P0065,1,0.1,1447.1124913978842,Online,Completed,2151.86,1389.65,1936.67,1936.67,1389.65,-900.0924913978843,2022-08-08,False
O000101,2023-01-12,C01970,P0014,1,0.05,1161.7072037064345,Store,Completed,16307.91,8998.28,15492.51,15492.51,8998.28,5332.522796293565,2021-04-07,False
O000102,2025-03-24,C02493,P0010,2,0.1,215.5374161812398,Store,Completed,56479.09,32881.48,50831.18,101662.36,65762.96,35683.86258381875,2023-06-07,False
O000103,2023-02-01,C01956,P0017,2,0.1,132.52583824068367,Store,Completed,34379.77,24585.58,30941.79,61883.58,49171.16,12579.894161759315,2023-09-18,True
O000104,2025-09-27,C01668,P0015,2,0.15,842.7649682463026,Store,Completed,68260.89,49534.02,58021.76,116043.52,99068.04,16132.715031753707,2022-09-17,False
O000105,2023-08-25,C02219,P0003,4,0.1,1104.5231157011015,Store,Completed,46962.97,29587.37,42266.67,169066.68,118349.48,49612.6768842989,2020-01-23,False
O000106,2024-07-11,C02318,P0022,3,0.1,662.1422406663069,Store,Completed,28566.38,16306.97,25709.74,77129.22,48920.909999999996,27546.167759333697,2020-11-03,False
O000107,2024-10-08,C01639,P0056,1,0.1,839.5682422346677,Online,Completed,3220.25,2334.13,2898.22,2898.22,2334.13,-275.47824223466796,2024-11-23,True
O000108,2025-09-13,C00637,P0059,2,0.0,1183.38207754331,Online,Returned,3898.1,2349.12,3898.1,7796.2,4698.24,1914.57792245669,2025-08-25,False
O000109,2025-03-30,C02115,P0026,2,0.2,1209.6416912375848,Online,Completed,9763.04,5837.13,7810.43,15620.86,11674.26,2736.9583087624155,2024-10-29,False
O000110,2024-04-17,C00008,P0050,3,0.05,1239.7975719448846,Store,Completed,12599.98,7440.87,11969.98,35909.94,22322.61,12347.532428055118,2022-08-13,False
O000111,2023-04-22,C01580,P0061,1,0.05,1362.7982899654617,Online,Completed,2023.64,1366.93,1922.46,1922.46,1366.93,-807.2682899654617,2024-11-16,True
O000112,2024-01-18,C00135,P0055,3,0.25,848.7106001165008,Online,Completed,2416.67,1519.14,1812.5,5437.5,4557.42,31.369399883499113,2025-08-12,True
O000113,2023-01-17,C00830,P0064,1,0.1,1488.7535407351363,Online,Completed,2688.32,1554.26,2419.49,2419.49,1554.26,-623.5235407351365,2023-05-06,True
O000114,2024-05-07,C00025,P0003,2,0.2,808.730912107658,Online,Completed,46962.97,29587.37,37570.38,75140.76,59174.74,15157.289087892339,2024-08-08,True
O000115,2025-07-14,C02010,P0030,1,0.05,886.3367625145055,Online,Completed,21001.14,14631.33,19951.08,19951.08,14631.33,4433.413237485496,2023-05-16,False
O000116,2023-04-27,C00374,P0058,1,0.1,538.1332339570511,Store,Completed,2016.07,1486.71,1814.46,1814.46,1486.71,-210.38323395705106,2023-09-03,True
O000117,2025-05-29,C02244,P0013,2,0.05,709.811499022752,Store,Completed,51810.99,39926.78,49220.44,98440.88,79853.56,17877.508500977256,2020-07-02,False
O000118,2023-04-25,C02450,P0072,4,0.0,376.7042145419623,Online,Completed,774.85,529.21,774.85,3099.4,2116.84,605.8557854580376,2025-10-01,True
O000119,2025-03-24,C02170,P0024,3,0.1,1339.6065532795453,Online,Returned,4047.59,3002.06,3642.83,10928.49,9006.18,582.7034467204542,2021-05-14,False
O000120,2024-10-05,C00772,P0069,1,0.05,661.8873726976963,Store,Completed,728.09,572.9,691.69,691.69,572.9,-543.0973726976962,2020-08-18,False
O000121,2023-12-02,C01937,P0007,2,0.0,1066.9767192368035,Online,Completed,33971.37,23910.3,33971.37,67942.74,47820.6,19055.163280763205,2023-01-08,False
O000122,2025-07-10,C00559,P0051,2,0.15,1016.290651313705,Online,Completed,21937.67,15735.09,18647.02,37294.04,31470.18,4807.569348686296,2020-03-10,False
O000123,2023-05-27,C01233,P0054,1,0.1,811.7505304328765,Store,Completed,4391.07,3392.34,3951.96,3951.96,3392.34,-252.13053043287664,2023-02-09,False
O000124,2023-05-02,C01625,P0051,1,0.0,1373.8348006154386,Online,Returned,21937.67,15735.09,21937.67,21937.67,15735.09,4828.74519938456,2025-08-26,True
O000125,2023-03-22,C00954,P0027,1,0.05,1056.2515941045008,Online,Completed,26372.42,16854.64,25053.8,25053.8,16854.64,7142.9084058954995,2023-10-31,True
O000126,2024-11-15,C01539,P0012,1,0.25,886.1377005140802,Online,Returned,35152.21,19746.44,26364.16,26364.16,19746.44,5731.582299485921,2022-12-28,False
O000127,2024-10-23,C00908,P0041,2,0.15,1390.4404716957913,Online,Completed,17041.87,10693.12,14485.59,28971.18,21386.24,6194.499528304207,2022-10-24,False
O000128,2024-01-10,C01681,P0033,3,0.2,1390.9679989622405,Online,Completed,13342.59,8022.86,10674.07,32022.21,24068.579999999998,6562.662001037761,2023-04-20,False
O000129,2023-03-04,C01910,P0031,3,0.1,589.7257436123626,Online,Completed,25575.2,17504.26,23017.68,69053.04000000001,52512.78,15950.534256387647,2023-05-05,True
O000130,2024-05-18,C01558,P0011,1,0.15,867.7157063708221,Online,Completed,76595.54,51662.71,65106.21,65106.21,51662.71,12575.784293629178,2022-11-09,False
O000131,2024-10-29,C01063,P0036,1,0.1,1242.0979618274532,Store,Completed,28469.37,21199.12,25622.43,25622.43,21199.12,3181.212038172548,2021-09-28,False
O000132,2024-03-24,C01831,P0006,4,0.1,1141.964650534424,Online,Completed,46399.31,28017.75,41759.38,167037.52,112071.0,53824.55534946557,2025-03-22,True
O000133,2025-05-17,C00619,P0045,2,0.0,787.5905298647418,Store,Completed,2648.4,2040.25,2648.4,5296.8,4080.5,428.70947013525836,2025-04-11,False
O000134,2024-11-10,C01808,P0060,3,0.15,1401.498310808159,Store,Returned,3944.4,2929.93,3352.74,10058.22,8789.789999999999,-133.06831080815869,2023-05-05,False
O000135,2024-04-05,C01910,P0072,1,0.1,637.1938881271524,Online,Completed,774.85,529.21,697.36,697.36,529.21,-469.0438881271524,2023-05-05,False
O000136,2024-04-03,C00206,P0037,2,0.0,62.433650530579676,Online,Returned,2788.85,1641.83,2788.85,5577.7,3283.66,2231.6063494694204,2020-08-03,False
O000137,2024-04-08,C00583,P0030,4,0.05,1413.6422755369185,Online,Completed,21001.14,14631.33,19951.08,79804.32,58525.32,19865.357724463087,2020-12-08,False
O000138,2025-06-30,C01705,P0038,3,0.1,178.3582363531876,Online,Cancelled,11946.05,6792.61,10751.44,32254.32,20377.829999999998,11698.131763646814,2024-06-13,False
O000139,2024-01-14,C00697,P0016,1,0.0,1237.2608527121085,Online,Completed,77138.7,54809.17,77138.7,77138.7,54809.17,21092.26914728789,2020-06-30,False
O000140,2025-10-22,C02460,P0038,5,0.15,1220.204045767299,Online,Completed,11946.05,6792.61,10154.14,50770.7,33963.049999999996,15587.445954232702,2023-03-23,False
O000141,2023-12-30,C00208,P0053,1,0.0,842.7601360020727,Online,Completed,19337.72,12777.59,19337.72,19337.72,12777.59,5717.369863997928,2024-09-02,True
O000142,2023-03-13,C00405,P0008,2,0.1,1484.006183372468,Store,Completed,41776.53,28887.3,37598.88,75197.76,57774.6,15939.153816627528,2020-06-02,False
O000143,2024-09-29,C02436,P0009,2,0.1,828.9778510111042,Online,Completed,55010.92,39856.38,49509.83,99019.66,79712.76,18477.922148988906,2022-03-03,False
O000144,2023-12-03,C01511,P0021,1,0.0,866.5242789797055,Online,Completed,11186.62,6592.76,11186.62,11186.62,6592.76,3727.335721020295,2023-05-03,False
O000145,2023-07-14,C00867,P0041,1,0.05,299.50313023509364,Online,Completed,17041.87,10693.12,16189.78,16189.78,10693.12,5197.156869764906,2022-03-08,False
O000146,2025-10-08,C01908,P0069,4,0.15,228.22774066107084,Online,Completed,728.09,572.9,618.88,2475.52,2291.6,-44.30774066107077,2021-02-08,False
O000147,2024-10-14,C02319,P0019,1,0.0,569.8796161372622,Online,Returned,14773.27,10973.74,14773.27,14773.27,10973.74,3229.6503838627386,2025-11-08,True
O000148,2023-01-07,C02485,P0018,1,0.1,1215.9925698917343,Store,Completed,45603.07,29794.11,41042.76,41042.76,29794.11,10032.657430108267,2025-12-31,True
O000149,2025-06-23,C00858,P0005,5,0.0,762.996903229704,Online,Completed,32063.17,24460.1,32063.17,160315.84999999998,122300.5,37252.353096770275,2024-08-14,False
O000150,2025-09-05,C02393,P0067,4,0.25,1247.780149269366,Online,Completed,3630.57,2847.91,2722.93,10891.72,11391.64,-1747.700149269366,2025-11-21,True
O000151,2024-07-19,C02197,P0071,3,0.05,452.95839401078933,Store,Completed,4370.25,3126.8,4151.74,12455.22,9380.400000000001,2621.8616059892083,2023-11-08,False
O000152,2024-09-07,C00187,P0032,1,0.05,345.59362422866235,Online,Completed,24167.24,14201.94,22958.88,22958.88,14201.94,8411.346375771338,2021-08-19,False
O000153,2024-07-26,C00020,P0048,1,0.05,552.6341313296698,Online,Completed,4817.07,3708.5,4576.22,4576.22,3708.5,315.08586867033046,2020-05-22,False
O000154,2024-08-21,C01362,P0033,4,0.1,1264.5464710821245,Store,Completed,13342.59,8022.86,12008.33,48033.32,32091.44,14677.333528917876,2024-11-25,True
O000155,2025-02-08,C02421,P0069,5,0.05,1071.1847531416788,Online,Completed,728.09,572.9,691.69,3458.4500000000003,2864.5,-477.23475314167854,2021-09-10,False
O000156,2023-08-30,C00067,P0072,1,0.1,1069.054873640037,Online,Completed,774.85,529.21,697.36,697.36,529.21,-900.904873640037,2024-10-15,True
O000157,2025-02-04,C01463,P0002,1,0.2,989.9941530189512,Online,Completed,48149.03,31099.07,38519.22,38519.22,31099.07,6430.15584698105,2022-12-10,False
O000158,2024-01-19,C00786,P0054,1,0.0,439.7057168308264,Online,Completed,4391.07,3392.34,4391.07,4391.07,3392.34,559.0242831691731,2024-05-17,True
O000159,2024-01-26,C01999,P0042,2,0.0,1319.651154118014,Online,Completed,23234.15,13517.06,23234.15,46468.3,27034.12,18114.52884588199,2025-07-22,True
O000160,2025-06-14,C02133,P0035,1,0.25,707.6263939333684,Online,Completed,6233.16,4830.1,4674.87,4674.87,4830.1,-862.8563939333688,2022-10-17,False
O000161,2024-11-18,C01430,P0061,1,0.1,416.2673773928079,Online,Completed,2023.64,1366.93,1821.28,1821.28,1366.93,38.082622607192036,2020-04-15,False
O000162,2023-02-16,C01419,P0060,1,0.05,189.42037545576886,Online,Completed,3944.4,2929.93,3747.18,3747.18,2929.93,627.8296245442311,2025-03-03,True
O000163,2024-09-10,C01548,P0049,1,0.05,1480.136582334963,Online,Completed,3620.6,2285.05,3439.57,3439.57,2285.05,-325.6165823349629,2023-09-28,False
O000164,2024-04-08,C00176,P0023,3,0.1,634.5815721630208,Online,Completed,18652.9,11870.8,16787.61,50362.83,35612.399999999994,14115.848427836987,2025-08-23,True
O000165,2023-05-03,C00359,P0068,3,0.1,1068.0266376562138,Store,Completed,831.51,520.17,748.36,2245.08,1560.5099999999998,-383.4566376562136,2022-09-12,False
O000166,2023-05-14,C01563,P0035,3,0.05,1397.679499132699,Online,Completed,6233.16,4830.1,5921.5,17764.5,14490.300000000001,1876.5205008673,2024-07-14,True
O000167,2025-04-20,C00291,P0014,3,0.05,95.07352626077305,Store,Cancelled,16307.91,8998.28,15492.51,46477.53,26994.840000000004,19387.61647373922,2021-06-18,False
